Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
3340000,4,3.0,2,2,5100.876,2470,1951,7.666666666666667,27,29,60,True,True,True,True,116 DUNSMUIR WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/116-Dunsmuir-Way-94025/home/1823480
3000000,4,3.0,1,2,5501.628,2235,1947,7.666666666666667,15,29,63,True,True,True,True,212 HEDGE RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/212-Hedge-Rd-94025/home/1836406
3075000,3,2.0,1,2,5445.0,1490,1948,7.666666666666667,64,43,84,True,True,True,False,777 WOODLAND AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/777-Woodland-Ave-94025/home/1836921
1015000,2,1.0,nan,1,4713.192,780,1961,7.666666666666667,58,36,78,True,True,False,True,1030 SEVIER AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1030-Sevier-Ave-94025/home/1836955
934000,3,1.0,1,2,5601.816,1410,1953,3.25,nan,nan,nan,False,True,True,True,1739 TULANE AVE,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/1739-Tulane-Ave-94303/home/1836990
2690000,3,2.0,nan,1,5998.2119999999995,1680,1949,nan,nan,nan,nan,True,True,False,True,2124 CEDAR AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2124-Cedar-Ave-94025/home/1837405
6000000,4,3.5,2,2,10650.42,3040,1997,7.666666666666667,31,33,73,True,True,True,True,2 BRADY PL,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2-Brady-Pl-94025/home/1845386
4000000,4,3.0,2,2,10711.404,2310,1950,8.0,16,21,67,True,True,False,True,740 OLIVE ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/740-Olive-St-94025/home/1857643
3389000,4,2.0,2,2,5998.2119999999995,2140,1929,7.666666666666667,74,46,95,True,True,False,False,106 CLOVER LN,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/106-Clover-Ln-94025/home/1871132
813000,3,1.0,1,0,5501.628,1010,1951,3.25,nan,nan,nan,False,True,False,True,2569 ANNAPOLIS ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/2569-Annapolis-St-94303/home/1876676
1300000,3,2.0,1,0,5998.2119999999995,1280,1949,nan,64,37,78,False,True,True,True,1106 CARLTON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,nan,https://www.redfin.com/CA/Menlo-Park/1106-Carlton-Ave-94025/home/1882302
2675000,3,2.0,nan,2,5850.108,1985,1962,nan,64,18,60,False,True,True,True,2303 BLUERIDGE AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2303-Blueridge-Ave-94025/home/1882723
2000000,3,2.0,1,1,9770.508,1516,1945,7.666666666666667,41,35,73,True,True,True,True,1055 BERKELEY AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/1055-Berkeley-Ave-94025/home/1904415
3263000,3,2.0,1,2,5998.2119999999995,1380,1954,nan,nan,nan,nan,True,True,True,True,2190 GORDON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2190-Gordon-Ave-94025/home/1904976
